"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045622","regulation of T-helper cell differentiation","22/3896","50/18860",0.44,2.1299794661191,4.08231121972829,0.000164455922324343,0.00699493264210637,0.00608463519154505,"BRD2/BRD4/CD69/CD86/GATA3/GPR65/HLA-DRA/HLA-DRB1/HLX/IRF4/JUNB/LGALS1/MALT1/NFKBIZ/RARA/RC3H1/RIPK2/SHB/SMAD7/TBX21/TNFSF4/ZBTB7B",22
"GO:0051345","positive regulation of hydrolase activity","41/3896","116/18860",0.353448275862069,1.7109944770941,3.91930479301491,0.000171180844960968,0.00723210348341806,0.00629094140223916,"ABR/ADCYAP1/AGRN/APC2/ARHGEF7/BMP2/CORO1C/CR1/DOCK10/DOCK11/DOCK8/DOCK9/ECT2/EVI5L/EZH2/F2RL1/GBA3/GRN/ITGA6/MTMR9/MTSS2/NET1/RALBP1/RALGAPA1/RALGAPA2/RALGAPB/RANGAP1/RAPGEF3/RASGRP1/RCN3/RGP1/RGS1/RGS8/RHOC/RIC1/SCRIB/SEMA4D/SNX13/SYDE1/TANK/TGM2",41
"GO:0061448","connective tissue development","90/3896","307/18860",0.293159609120521,1.4191453357323,3.77808485378997,0.000182143839431902,0.00764396979482548,0.0066492087910509,"ABHD15/ADAMTS7/ARID5A/ARID5B/ARRDC3/BBS1/BGN/BMP2/BMP4/BMP8A/BPNT2/CASR/CBS/CHADL/CHI3L1/CHST11/CHSY1/COL11A2/COL27A1/COL5A1/COL6A1/CRIP1/CSF1/DDRGK1/DYRK1B/EDN1/EGR1/EIF2AK3/EXT1/EXT2/FOSL2/FOXA1/GALNT3/GATA3/GDF7/HIF1A/HMGA2/HOXA11/HOXC4/HRAS/HSD17B1/HYAL1/ID2/KAT2A/LOX/LRP5/LTBP3/LUM/MAPK14/MAPK3/MATN1/MEF2C/MKKS/MSX1/NCOA1/NCOA2/NFATC2/NR5A2/PDGFB/PITX1/PKD1/PPARD/PTPN11/RARA/RARG/RASAL2/RB1/RFLNB/RUNX1/RUNX3/SCX/SELENOM/SHOX2/SIX2/SLC39A13/SLC39A14/SMAD7/SNX19/SORL1/SOX8/SRF/TGFB1/TGFBR2/THRA/TRIP11/TRPM4/VPS13B/XBP1/ZEB1/ZNF219",90
"GO:0042129","regulation of T cell proliferation","61/3896","192/18860",0.317708333333333,1.53798233230664,3.82309144622077,0.000187428053114018,0.00778838501289393,0.00677483028921437,"ARG1/BMP4/CASP3/CCDC88B/CCR2/CD274/CD28/CD46/CD55/CD6/CD70/CD86/CR1/CTLA4/DHPS/DLG5/EFNB1/ERBB2/GLMN/HES1/HLA-DPA1/HLA-DRB1/ICOSLG/IGF2/IGFBP2/IL15/IL1B/IL2RA/IRF1/JAK2/LAPTM5/MAD1L1/MARCHF7/NCK1/NCKAP1L/NR5A2/PDCD1LG2/PELI1/PRKCQ/PTPN11/PTPRC/PYCARD/RC3H1/RIPK2/RIPOR2/SCRIB/SHH/SLAMF1/SLC4A2/SOS2/SYK/TFRC/TGFB1/TGFBR2/TMEM131L/TNFSF13B/TNFSF4/TYK2/ZAP70/ZBTB7B/ZNHIT1",61
"GO:0032386","regulation of intracellular transport","83/3896","279/18860",0.297491039426523,1.44011319393846,3.77900009495165,0.000188059495148511,0.00778838501289393,0.00677483028921437,"AAAS/ABCA2/AKAP5/ALKBH5/ANP32B/ARHGAP1/B3GAT3/BAG3/BMP4/BRSK2/CAMK1/CAPN10/CDH1/CEP131/DERL3/DHX9/DYNC1LI2/DYNLRB1/ECT2/EDEM1/EFCAB7/EHD1/EHD2/EMD/ERLEC1/FAM76B/GAS1/HDAC3/HHEX/ICE1/IER3/IFNG/IL1B/INSIG1/JAK2/JUP/KIF20B/LCP1/LRRK2/MAP2K2/MAPK14/MAPK3/MTMR4/NEDD4/NEFH/NUMA1/NUP58/NUS1/OAZ3/PCNT/PDCD10/PIK3R2/PTPN1/PTPN11/RAB11B/RAB11FIP3/RAB29/RANBP2/RANGAP1/RAPGEF3/RBM10/REEP2/RINT1/RIPOR1/RNF139/SCFD1/SEC24B/SEPTIN8/SHH/SLC51B/SNX12/SORL1/SPAG5/STK11/TGFB1/THOC2/TRIM28/UBE2J1/UBR5/VAMP2/XBP1/XPO4/ZPR1",83
"GO:0002369","T cell cytokine production","19/3896","41/18860",0.463414634146341,2.24332648870637,4.06652829138536,0.000198431189323388,0.00810450976650384,0.00704981561061042,"ARG1/ARID5A/B2M/CCR2/CD55/DENND1B/FZD5/GATA3/HLA-F/IFNG/IL1B/MALT1/MAP3K7/SLAMF1/SMAD7/TBX21/TNFSF4/TRAF2/TRPM4",19
"GO:0002724","regulation of T cell cytokine production","19/3896","41/18860",0.463414634146341,2.24332648870637,4.06652829138536,0.000198431189323388,0.00810450976650384,0.00704981561061042,"ARG1/ARID5A/B2M/CCR2/CD55/DENND1B/FZD5/GATA3/HLA-F/IFNG/IL1B/MALT1/MAP3K7/SLAMF1/SMAD7/TBX21/TNFSF4/TRAF2/TRPM4",19
"GO:0030162","regulation of proteolysis","112/3896","398/18860",0.281407035175879,1.36225274215018,3.7269949042112,0.000199555045878967,0.00810450976650384,0.00704981561061042,"AGTPBP1/AKT1/ALAD/APOE/ATP5IF1/AURKA/AURKAIP1/AXIN1/BAD/BAG6/CASP8/CLEC3B/CLU/COP1/CR1/CSNK1A1/CSNK2B/CTSC/CYFIP2/DAB2IP/DDRGK1/DISC1/DNAJB2/DVL1/ELOB/FBXO38/FBXW7/FZR1/GABARAP/GAS1/GIPC1/GLMN/GPX1/GRN/GSAP/HAMP/HERPUD1/HSP90AB1/HSPA1A/HSPA1B/HSPBP1/IDE/IFNG/IL1B/KEAP1/LAPTM5/LRRK2/MAP1A/MAPK3/MARCHF7/MELTF/MTOR/MYH9/NEDD8/NFE2L1/NOP53/NR1H2/NUPR1/OGT/PACSIN3/PAQR3/PHF20L1/PIAS1/PINK1/PKD1/PML/PRKACB/PSMC3/PSMC5/PSME3/PTK2B/PTPN1/PYHIN1/RAD23A/RCN3/RGMA/RHBDD1/RHBDF1/RNF139/RUNX1/RYBP/SERPINB8/SERPINE1/SERPINE2/SGTA/SHH/SMAD7/SNX12/SNX33/SPON1/SPOPL/TANK/TBC1D10A/TF/TIMP2/TMEM168/TMEM259/TMX1/TRAF3/TRAF7/TRIB1/TSPAN5/UBE3A/UBQLN1/UBQLN4/UBXN1/UFL1/USP19/USP25/USP38/USP5/XBP1",112
"GO:0000209","protein polyubiquitination","88/3896","300/18860",0.293333333333333,1.41998631074606,3.7415515313813,0.000208740873781474,0.00842322949009216,0.00732705820115537,"AKT1/ANAPC1/ANAPC10/ANAPC2/ANAPC7/AREL1/ATM/AXIN1/BCL2/CDC27/CDC34/CUL1/CUL3/DTL/DZIP3/FBXO38/FBXO4/FBXO7/FOXO4/FZR1/GABARAP/GPS2/HAMP/IRF2BP1/KEAP1/KLHL3/LNPEP/LRSAM1/MARCHF1/MARCHF7/MDC1/MGRN1/MYCBP2/NBN/NEDD4/NFE2L1/NHLRC3/NT5C2/PARP10/PELI1/PELI3/PLAA/RBCK1/RC3H1/RIPK2/RNF111/RNF126/RNF135/RNF166/RNF168/RNF213/RNF31/RNF41/RNF6/RUSC1/SHARPIN/SKP2/SPSB3/STAMBPL1/TAX1BP1/TCF25/TMEM129/TNKS/TNKS2/TPP2/TRAF2/TRAF7/TRIM22/TRIM26/TRIM55/TRIM56/TRIM65/TRIP12/UBE2E2/UBE2G1/UBE2J1/UBE2Q1/UBE2S/UBE2W/UBE3A/UBE4A/UBR2/UBR4/UBR5/USP25/USP38/WSB1/ZNF598",88
"GO:0099022","vesicle tethering","16/3896","32/18860",0.5,2.42043121149897,4.10334521290642,0.000210773292991403,0.00844228471240147,0.00734363363971614,"EXOC1/EXOC2/EXOC4/EXOC6/FAM91A1/STARD3/STARD3NL/TBC1D23/TRAPPC10/TRAPPC11/TRAPPC13/TRAPPC4/TRAPPC5/TRAPPC8/TRIP11/WDR11",16
